nom,category_id,categorie,prix_initial,prix_optimal,stock,date_expiration,jours_avant_expiration,supermarche,zone
Citron,2,Fruits et Légumes,1.38,1.38,64,2026-04-10,6,Carrefour,Tunis
Mangue,2,Fruits et Légumes,16.1,16.1,61,2026-04-10,6,Carrefour,Sousse
Avocat Dolce,2,Fruits et Légumes,5.75,4.094,173,2026-04-08,4,Carrefour,Ariana
Ananas,2,Fruits et Légumes,7.99,7.99,194,2026-04-10,6,Carrefour,Tunis
Citron en filet,2,Fruits et Légumes,0.98,0.98,242,2026-04-10,6,Carrefour,Sousse
Kiwi,2,Fruits et Légumes,1.59,0.522,84,2026-04-06,2,Carrefour,Ariana
Pomme Anna,2,Fruits et Légumes,3.45,1.132,36,2026-04-06,2,Carrefour,Tunis
Clémentine,2,Fruits et Légumes,2.53,0.587,36,2026-04-05,1,Carrefour,Sousse
Clémentines en filet,2,Fruits et Légumes,3.45,3.45,180,2026-04-09,5,Carrefour,Tunis
Framboise en barquette,2,Fruits et Légumes,12.5,12.5,176,2026-04-09,5,Carrefour,Sousse
Thomson sanguine,2,Fruits et Légumes,2.59,1.844,176,2026-04-08,4,Carrefour,Ariana
Orange Thomson New Hall grand calibre,2,Fruits et Légumes,2.59,1.844,58,2026-04-08,4,Carrefour,Tunis
Grenades moyen calibre,2,Fruits et Légumes,5.75,1.886,111,2026-04-06,2,Carrefour,Sousse
Orange douce AA,2,Fruits et Légumes,2.59,2.59,158,2026-04-11,7,Carrefour,Ariana
Kiwi jaune gold,2,Fruits et Légumes,1.59,1.132,226,2026-04-08,4,Carrefour,Tunis
Grenade grand calibre,2,Fruits et Légumes,5.75,1.886,40,2026-04-06,2,Carrefour,Sousse
Fruits de la passion,2,Fruits et Légumes,2.875,1.403,159,2026-04-07,3,Carrefour,Ariana
Pomme royal gala moyen calibre,2,Fruits et Légumes,5.75,5.75,244,2026-04-11,7,Carrefour,Tunis
Pommes Golden grand calibre,2,Fruits et Légumes,5.175,3.685,169,2026-04-08,4,Carrefour,Sousse
Orange maltaise à jus,2,Fruits et Légumes,1.38,1.38,34,2026-04-09,5,Carrefour,Ariana
Clémentine Cassar,2,Fruits et Légumes,2.875,2.875,195,2026-04-10,6,Carrefour,Tunis
Bergamote,2,Fruits et Légumes,7.99,2.621,166,2026-04-06,2,Carrefour,Sousse
Orange sakasli,2,Fruits et Légumes,2.59,1.844,82,2026-04-08,4,Carrefour,Ariana
Pack mlewi indien Parathas,3,Boulangerie,4.29,1.239,33,2026-04-05,1,Carrefour,Tunis
Pain chawarma nature,3,Boulangerie,3.99,3.99,39,2026-04-08,4,Carrefour,Sousse
Pain libanais,3,Boulangerie,1.555,0.864,68,2026-04-06,2,Carrefour,Ariana
Pain panini précuit,3,Boulangerie,1.7,0.491,23,2026-04-05,1,Carrefour,Tunis
Pain tortilla tacos,3,Boulangerie,4.29,2.383,49,2026-04-06,2,Carrefour,Sousse
Pain chwarma complet,3,Boulangerie,2.69,2.69,34,2026-04-07,3,Carrefour,Ariana
Pain chawarma,3,Boulangerie,1.555,1.555,31,2026-04-07,3,Carrefour,Tunis
Petit pain complet,3,Boulangerie,2.35,1.306,13,2026-04-06,2,Carrefour,Sousse
Mini tabouna nature,3,Boulangerie,0.25,0.072,67,2026-04-05,1,Carrefour,Ariana
Pain TACOS max original,3,Boulangerie,8.49,8.49,46,2026-04-07,3,Carrefour,Tunis
Pain TACOS original,3,Boulangerie,5.48,3.044,79,2026-04-06,2,Carrefour,Sousse
Pain tortilla blé complet,3,Boulangerie,11.28,11.28,51,2026-04-08,4,Carrefour,Ariana
Mlawi,3,Boulangerie,4.0,2.222,50,2026-04-06,2,Carrefour,Tunis
Pain burger nature au sésame,3,Boulangerie,2.39,0.69,43,2026-04-05,1,Carrefour,Sousse
Pain burger nature,3,Boulangerie,2.5,0.722,46,2026-04-05,1,Carrefour,Ariana
Le lot de 5 Pains burger nature,3,Boulangerie,3.5,1.011,36,2026-04-05,1,Carrefour,Tunis
Pain burger buns au blé complet,3,Boulangerie,2.39,1.328,40,2026-04-06,2,Carrefour,Sousse
Pain burger buns Multicéréales,3,Boulangerie,2.45,1.361,49,2026-04-06,2,Carrefour,Ariana
Le lot de 2 Pains Burger complet multi-graines,3,Boulangerie,1.43,0.413,21,2026-04-05,1,Carrefour,Tunis
Pain Burger aux graines de sésame,3,Boulangerie,1.07,1.07,62,2026-04-07,3,Carrefour,Sousse
Pain Burger nature,3,Boulangerie,1.05,0.303,19,2026-04-05,1,Carrefour,Ariana
Pain de mie nature,3,Boulangerie,2.1,1.167,26,2026-04-06,2,Carrefour,Tunis
Pain de campagne,3,Boulangerie,2.4,1.333,71,2026-04-06,2,Carrefour,Sousse
Pain hamburger,3,Boulangerie,2.5,2.5,55,2026-04-08,4,Carrefour,Ariana
Pain oriental complet,3,Boulangerie,2.4,2.4,11,2026-04-08,4,Carrefour,Tunis
Pain oriental,3,Boulangerie,2.4,2.4,63,2026-04-07,3,Carrefour,Sousse
Pain libanais 15cm,3,Boulangerie,1.3,1.3,74,2026-04-07,3,Carrefour,Ariana
Pain semoule,3,Boulangerie,0.75,0.75,62,2026-04-08,4,Carrefour,Tunis
Pain chawarma,3,Boulangerie,3.8,1.098,35,2026-04-05,1,Carrefour,Sousse
Pain de campagne,3,Boulangerie,1.7,1.7,30,2026-04-07,3,Carrefour,Ariana
Baguette à la semoule,3,Boulangerie,0.8,0.8,49,2026-04-07,3,Carrefour,Tunis
Pain burger aux sésames,3,Boulangerie,2.45,0.708,45,2026-04-05,1,Carrefour,Sousse
Pain libanais nature,3,Boulangerie,1.72,1.72,68,2026-04-07,3,Carrefour,Ariana
Pain à l'ancienne,3,Boulangerie,3.5,1.944,63,2026-04-06,2,Carrefour,Tunis
Petit pain viennois nature,3,Boulangerie,3.5,3.5,64,2026-04-07,3,Carrefour,Sousse
Pain libanais 28cm,3,Boulangerie,2.5,1.389,33,2026-04-06,2,Carrefour,Ariana
Baguette allégée en sel,3,Boulangerie,1.0,0.289,31,2026-04-05,1,Carrefour,Tunis
Pain aux 6 céréales,3,Boulangerie,1.2,0.347,65,2026-04-05,1,Carrefour,Sousse
Baguette au son,3,Boulangerie,0.75,0.75,45,2026-04-07,3,Carrefour,Ariana
Pain à la semoule,3,Boulangerie,0.75,0.75,29,2026-04-07,3,Carrefour,Tunis
Pain sans sel,3,Boulangerie,0.75,0.75,71,2026-04-07,3,Carrefour,Sousse
Pain complet,3,Boulangerie,1.05,0.583,35,2026-04-06,2,Carrefour,Ariana
Baguette de campagne,3,Boulangerie,1.1,0.318,49,2026-04-05,1,Carrefour,Tunis
Pain au son sans sel,3,Boulangerie,0.55,0.159,10,2026-04-05,1,Carrefour,Sousse
Pain flûte,3,Boulangerie,0.75,0.75,70,2026-04-07,3,Carrefour,Tunis
Pain libanais complet 21cm,3,Boulangerie,2.1,0.607,51,2026-04-05,1,Carrefour,Sousse
Baguette au son,3,Boulangerie,0.7,0.7,48,2026-04-07,3,Carrefour,Ariana
Pain au son,3,Boulangerie,1.1,0.611,12,2026-04-06,2,Carrefour,Tunis
Baguette sans sel,3,Boulangerie,0.5,0.5,53,2026-04-07,3,Carrefour,Sousse
Baguette complète,3,Boulangerie,1.1,1.1,21,2026-04-07,3,Carrefour,Tunis
Pain aux céréales,3,Boulangerie,1.6,1.6,53,2026-04-07,3,Carrefour,Sousse
Pain de mie nature margarine,3,Boulangerie,1.9,0.549,58,2026-04-05,1,Carrefour,Ariana
Déjeunette cuite,3,Boulangerie,1.1,0.611,26,2026-04-06,2,Carrefour,Tunis
Boule de campagne,3,Boulangerie,2.8,2.8,66,2026-04-07,3,Carrefour,Sousse
Boule blanche,3,Boulangerie,1.1,1.1,56,2026-04-08,4,Carrefour,Ariana
Pain libanais 22cm,3,Boulangerie,2.1,2.1,71,2026-04-08,4,Carrefour,Tunis
Pain précuit,3,Boulangerie,2.1,2.1,17,2026-04-07,3,Carrefour,Sousse
Déjeunette complet,3,Boulangerie,1.2,0.347,30,2026-04-05,1,Carrefour,Ariana
Pain complet intégral,3,Boulangerie,1.4,1.4,79,2026-04-08,4,Carrefour,Tunis
Pain Pavé,3,Boulangerie,1.1,0.611,34,2026-04-06,2,Carrefour,Sousse
Baguette aux céréales,3,Boulangerie,1.2,1.2,21,2026-04-07,3,Carrefour,Ariana
Tabouna traditionnelle,3,Boulangerie,0.7,0.389,68,2026-04-06,2,Carrefour,Tunis
Baguette complète,3,Boulangerie,0.8,0.8,35,2026-04-07,3,Carrefour,Ariana
Baguette au son,3,Boulangerie,0.6,0.333,41,2026-04-06,2,Carrefour,Tunis
Chapelure,3,Boulangerie,1.39,1.39,25,2026-04-07,3,Carrefour,Sousse
Pain au chocolat à la pièce,3,Boulangerie,0.95,0.95,26,2026-04-07,3,Carrefour,Tunis
Chocolatine,3,Boulangerie,3.7,1.069,35,2026-04-05,1,Carrefour,Sousse
Pain au chocolat,3,Boulangerie,3.5,1.944,16,2026-04-06,2,Carrefour,Ariana
Chocolatine,3,Boulangerie,1.9,0.549,16,2026-04-05,1,Carrefour,Tunis
Croissants nature,3,Boulangerie,9.9,9.9,57,2026-04-08,4,Carrefour,Sousse
Mini viennoiserie,3,Boulangerie,6.4,6.4,68,2026-04-07,3,Carrefour,Ariana
Brioche couronne des rois,3,Boulangerie,9.9,9.9,48,2026-04-07,3,Carrefour,Tunis
La brioche Nanterre,3,Boulangerie,4.5,4.5,27,2026-04-07,3,Carrefour,Sousse
Croissants,3,Boulangerie,1.8,1.0,26,2026-04-06,2,Carrefour,Ariana
Croissants nature,3,Boulangerie,5.9,5.9,40,2026-04-08,4,Carrefour,Tunis
Croissants,3,Boulangerie,3.98,1.15,69,2026-04-05,1,Carrefour,Sousse
Briochette nature pur beurre,3,Boulangerie,2.1,0.607,12,2026-04-05,1,Carrefour,Ariana
Brioche Nanterre nature pur beurre,3,Boulangerie,16.9,16.9,52,2026-04-08,4,Carrefour,Tunis
Pain au chocolat pur beurre,3,Boulangerie,8.7,8.7,64,2026-04-07,3,Carrefour,Sousse
Pain au chocolat pur beurre,3,Boulangerie,4.4,4.4,48,2026-04-07,3,Carrefour,Ariana
Croissant au pur beurre,3,Boulangerie,4.0,1.156,13,2026-04-05,1,Carrefour,Tunis
Croissant au pur beurre,3,Boulangerie,7.9,2.282,34,2026-04-05,1,Carrefour,Sousse
Schneck au lait pur beurre,3,Boulangerie,3.1,3.1,42,2026-04-08,4,Carrefour,Ariana
Pain aux raisins pur beurre,3,Boulangerie,3.6,3.6,51,2026-04-08,4,Carrefour,Tunis
Mini viennoiserie au pur beurre,3,Boulangerie,5.55,5.55,75,2026-04-07,3,Carrefour,Sousse
Bâtonnets de poisson panés,4,Viandes et Poissons,10.39,9.128,39,2026-04-14,10,Carrefour,Tunis
Shawarma de dinde surgelée,4,Viandes et Poissons,12.99,12.99,38,2026-04-18,14,Carrefour,Sousse
Nuggets CROKIDS,4,Viandes et Poissons,9.38,9.38,17,2026-04-17,13,Carrefour,Ariana
Gordon bleu,4,Viandes et Poissons,9.75,3.433,22,2026-04-07,3,Carrefour,Tunis
Nugets de poulet,4,Viandes et Poissons,6.85,6.85,33,2026-04-18,14,Carrefour,Sousse
Croquido,4,Viandes et Poissons,6.82,6.82,33,2026-04-18,14,Carrefour,Ariana
Kefta de dinde,4,Viandes et Poissons,4.74,3.177,20,2026-04-12,8,Carrefour,Tunis
Croque pizza Croustillante,4,Viandes et Poissons,5.99,5.99,14,2026-04-18,14,Carrefour,Sousse
Escalope de poulet panée,4,Viandes et Poissons,13.95,8.139,29,2026-04-11,7,Carrefour,Ariana
Escalope  de dinde panée,4,Viandes et Poissons,12.23,5.438,24,2026-04-09,5,Carrefour,Tunis
Hamburger de dinde,4,Viandes et Poissons,8.99,8.99,5,2026-04-18,14,Carrefour,Sousse
Escalope de poulet panée,4,Viandes et Poissons,28.5,28.5,7,2026-04-17,13,Carrefour,Ariana
Burger pané,4,Viandes et Poissons,8.28,5.55,18,2026-04-12,8,Carrefour,Tunis
Nuggets de poulet,4,Viandes et Poissons,9.5,3.07,34,2026-04-06,2,Carrefour,Sousse
Burger à la viande de dinde kwika,4,Viandes et Poissons,3.89,1.257,8,2026-04-06,2,Carrefour,Ariana
Kefta de dinde CHAHIA,4,Viandes et Poissons,4.22,1.29,29,2026-04-05,1,Carrefour,Tunis
Viande Hamburger,4,Viandes et Poissons,17.98,13.819,19,2026-04-13,9,Carrefour,Sousse
Chicken nuggets,4,Viandes et Poissons,10.99,3.361,19,2026-04-05,1,Carrefour,Ariana
Chicken popcorn,4,Viandes et Poissons,9.28,3.643,28,2026-04-08,4,Carrefour,Tunis
Steak haché de beauf,4,Viandes et Poissons,9.19,9.19,16,2026-04-15,11,Carrefour,Sousse
Hamburger de dinde,4,Viandes et Poissons,17.9,10.444,10,2026-04-11,7,Carrefour,Ariana
Cordon bleu,4,Viandes et Poissons,12.29,12.29,28,2026-04-15,11,Carrefour,Tunis
Chicken Nuggets,4,Viandes et Poissons,8.49,2.743,17,2026-04-06,2,Carrefour,Sousse
Chicken Nuggets,4,Viandes et Poissons,11.3,6.593,29,2026-04-11,7,Carrefour,Ariana
Kefta de dinde,4,Viandes et Poissons,5.78,5.78,8,2026-04-15,11,Carrefour,Tunis
Cordon bleu,4,Viandes et Poissons,8.25,3.239,12,2026-04-08,4,Carrefour,Sousse
Boulette de dinde,4,Viandes et Poissons,5.99,3.045,33,2026-04-10,6,Carrefour,Ariana
Roulé au Fromage,4,Viandes et Poissons,7.19,7.19,14,2026-04-15,11,Carrefour,Tunis
Steak haché de bœuf SADIA,4,Viandes et Poissons,26.29,20.206,38,2026-04-13,9,Carrefour,Sousse
Cordon bleu,4,Viandes et Poissons,9.99,7.678,30,2026-04-13,9,Carrefour,Ariana
Kabeb de dinde CUISTO,4,Viandes et Poissons,7.69,5.154,7,2026-04-12,8,Carrefour,Tunis
Chicken nuggets,4,Viandes et Poissons,6.1,2.712,10,2026-04-09,5,Carrefour,Sousse
Chiken Fries Mini Chef,4,Viandes et Poissons,12.79,6.501,9,2026-04-10,6,Carrefour,Ariana
Steak haché de poulet,4,Viandes et Poissons,7.23,2.211,27,2026-04-05,1,Carrefour,Tunis
Nuggets de poulet crispy kids,4,Viandes et Poissons,9.12,3.211,13,2026-04-07,3,Carrefour,Sousse
Cordon bleu,4,Viandes et Poissons,10.39,9.128,24,2026-04-14,10,Carrefour,Ariana
Cordon bleu,4,Viandes et Poissons,10.49,3.39,39,2026-04-06,2,Carrefour,Tunis
Nuggets de poulet,4,Viandes et Poissons,8.79,8.79,22,2026-04-18,14,Carrefour,Sousse
Escalope de poulet pannée,4,Viandes et Poissons,8.99,6.026,21,2026-04-12,8,Carrefour,Ariana
Nuggets de poulet,4,Viandes et Poissons,8.78,3.091,7,2026-04-07,3,Carrefour,Tunis
Crevettes décortiquées congelées,4,Viandes et Poissons,29.59,19.833,17,2026-04-12,8,Carrefour,Tunis
Salade de fruits de mer,4,Viandes et Poissons,15.89,12.213,29,2026-04-13,9,Carrefour,Sousse
Filet de poisson,4,Viandes et Poissons,19.69,19.69,8,2026-04-18,14,Carrefour,Ariana
Moules demi coquille,4,Viandes et Poissons,24.9,24.9,38,2026-04-15,11,Carrefour,Tunis
Chevrettes pannées,4,Viandes et Poissons,29.9,29.9,7,2026-04-15,11,Carrefour,Sousse
Seiche,4,Viandes et Poissons,8.0,8.0,32,2026-04-17,13,Carrefour,Ariana
Mixte de fruits de mer pack 1.5kg,4,Viandes et Poissons,29.9,10.527,13,2026-04-07,3,Carrefour,Tunis
Mixte de fruits de mer pack 1.5kg,4,Viandes et Poissons,27.6,8.919,29,2026-04-06,2,Carrefour,Sousse
Boumisks poulpe petit calibre,4,Viandes et Poissons,33.3,29.254,16,2026-04-14,10,Carrefour,Ariana
Tentacules de poulpe,4,Viandes et Poissons,63.25,42.393,13,2026-04-12,8,Carrefour,Tunis
Poulpe entier congelé,4,Viandes et Poissons,57.5,25.566,29,2026-04-09,5,Carrefour,Sousse
Chevrettes décortiquées,4,Viandes et Poissons,36.2,36.2,15,2026-04-15,11,Carrefour,Ariana
Crevettes de moyen calibre décortiquées,4,Viandes et Poissons,50.6,33.915,38,2026-04-12,8,Carrefour,Tunis
Crevettes gros calibres décortiquées,4,Viandes et Poissons,52.9,26.887,19,2026-04-10,6,Carrefour,Sousse
Crevettes gros calibres,4,Viandes et Poissons,49.4,49.4,12,2026-04-15,11,Carrefour,Ariana
Crevettes moyen calibre,4,Viandes et Poissons,40.25,35.36,9,2026-04-14,10,Carrefour,Tunis
Seiche nettoyée moyen calibre,4,Viandes et Poissons,39.5,20.076,22,2026-04-10,6,Carrefour,Sousse
Seiche nettoyée gros calibre,4,Viandes et Poissons,44.8,44.8,17,2026-04-16,12,Carrefour,Ariana
Calamar moyen noir,4,Viandes et Poissons,62.2,62.2,9,2026-04-17,13,Carrefour,Tunis
Calamar gros noir,4,Viandes et Poissons,64.4,20.81,21,2026-04-06,2,Carrefour,Sousse
Calamar nettoyé entier,4,Viandes et Poissons,66.7,66.7,36,2026-04-18,14,Carrefour,Ariana
Figurines de merlan pannées,4,Viandes et Poissons,14.98,5.274,33,2026-04-07,3,Carrefour,Tunis
Moules décoquillées,4,Viandes et Poissons,10.99,7.366,7,2026-04-12,8,Carrefour,Sousse
Chaire de Bigorneau marinée,4,Viandes et Poissons,12.9,8.646,38,2026-04-12,8,Carrefour,Ariana
Croquettes de poulpe,4,Viandes et Poissons,26.8,26.8,31,2026-04-17,13,Carrefour,Tunis
Moules décortiquées,4,Viandes et Poissons,26.5,13.469,37,2026-04-10,6,Carrefour,Sousse
Bâtonnets de crabes congelés,4,Viandes et Poissons,10.38,3.654,28,2026-04-07,3,Carrefour,Ariana
Surimi de crabes en morceaux surgelés,4,Viandes et Poissons,11.28,7.56,20,2026-04-12,8,Carrefour,Tunis
Filets de poissons panés,4,Viandes et Poissons,16.99,5.195,32,2026-04-05,1,Carrefour,Sousse
Crevettes panées,4,Viandes et Poissons,13.99,13.99,17,2026-04-15,11,Carrefour,Ariana
Crevettes panées surgelés,4,Viandes et Poissons,25.39,11.289,29,2026-04-09,5,Carrefour,Tunis
Crevettes entières,4,Viandes et Poissons,16.99,16.99,40,2026-04-15,11,Carrefour,Sousse
Anneaux de calamars panés,4,Viandes et Poissons,11.55,5.135,11,2026-04-09,5,Carrefour,Ariana
Crevettes décortiquées,4,Viandes et Poissons,7.29,4.254,35,2026-04-11,7,Carrefour,Tunis
Calamars nettoyés surgelés,4,Viandes et Poissons,29.9,29.9,14,2026-04-15,11,Carrefour,Sousse
Crevettes décortiquées congelées,4,Viandes et Poissons,55.0,32.091,34,2026-04-11,7,Carrefour,Ariana
Anneaux de calamars pannés congelés,4,Viandes et Poissons,18.18,5.875,35,2026-04-06,2,Carrefour,Tunis
Filet de merlan pané,4,Viandes et Poissons,15.79,5.102,40,2026-04-06,2,Carrefour,Sousse
Poulpe congelé en tranche,4,Viandes et Poissons,31.6,31.6,18,2026-04-17,13,Carrefour,Ariana
Seiche nettoyée et congelée,4,Viandes et Poissons,26.5,26.5,33,2026-04-16,12,Carrefour,Tunis
Calamar congelé,4,Viandes et Poissons,27.9,27.9,6,2026-04-17,13,Carrefour,Sousse
Fruits de mer,4,Viandes et Poissons,15.8,4.831,31,2026-04-05,1,Carrefour,Ariana
Anneaux de calamars congelés FAKAM,4,Viandes et Poissons,8.39,5.623,21,2026-04-12,8,Carrefour,Tunis
Salade de fruits de mer,4,Viandes et Poissons,19.99,6.46,35,2026-04-06,2,Carrefour,Sousse
Crevettes décortiquées,4,Viandes et Poissons,18.79,18.79,28,2026-04-17,13,Carrefour,Ariana
Calamar entier nettoyé,4,Viandes et Poissons,27.79,14.125,39,2026-04-10,6,Carrefour,Tunis
Anneaux de calamars,4,Viandes et Poissons,23.86,23.86,23,2026-04-18,14,Carrefour,Sousse
Tubes de calamars,4,Viandes et Poissons,24.98,21.945,11,2026-04-14,10,Carrefour,Ariana
Crevettes royales,4,Viandes et Poissons,34.9,11.278,36,2026-04-06,2,Carrefour,Tunis
Crevettes pannées,4,Viandes et Poissons,18.28,18.28,32,2026-04-16,12,Carrefour,Sousse
Salade de fuits de mer,4,Viandes et Poissons,15.63,15.63,19,2026-04-18,14,Carrefour,Tunis
Filet de pangasius,4,Viandes et Poissons,21.41,10.882,33,2026-04-10,6,Carrefour,Sousse
Poisson pané,4,Viandes et Poissons,17.99,7.062,8,2026-04-08,4,Carrefour,Ariana
Chevrettes décortiquées congelées,4,Viandes et Poissons,24.99,9.81,36,2026-04-08,4,Carrefour,Tunis
Filets de poisson surgelés,4,Viandes et Poissons,26.69,26.69,8,2026-04-15,11,Carrefour,Sousse
Anneaux de calamars panés,4,Viandes et Poissons,21.9,21.9,21,2026-04-16,12,Carrefour,Ariana
Poisson pané,4,Viandes et Poissons,25.29,7.733,26,2026-04-05,1,Carrefour,Tunis
Crevettes décortiquées,4,Viandes et Poissons,16.28,8.275,14,2026-04-10,6,Carrefour,Sousse
Bâtonnets de poisson,4,Viandes et Poissons,15.58,7.919,5,2026-04-10,6,Carrefour,Ariana
Anneaux de calamars,4,Viandes et Poissons,25.79,17.286,30,2026-04-12,8,Carrefour,Tunis
Anneaux de calamars panés,4,Viandes et Poissons,25.79,8.334,22,2026-04-06,2,Carrefour,Sousse
Crevettes décortiquées,4,Viandes et Poissons,10.89,10.89,18,2026-04-17,13,Carrefour,Ariana
Celeri vert,2,Fruits et Légumes,0.46,0.328,233,2026-04-08,4,GeantDrive,Tunis
Blette,2,Fruits et Légumes,0.46,0.46,209,2026-04-09,5,GeantDrive,Tunis
Persil,2,Fruits et Légumes,0.52,0.52,233,2026-04-11,7,GeantDrive,Tunis
Aneth,2,Fruits et Légumes,0.69,0.337,58,2026-04-07,3,GeantDrive,Tunis
Coriandre,2,Fruits et Légumes,0.69,0.69,62,2026-04-10,6,GeantDrive,Tunis
Salade romaine,2,Fruits et Légumes,1.26,1.26,140,2026-04-11,7,GeantDrive,Tunis
Salade laitue,2,Fruits et Légumes,1.26,0.615,189,2026-04-07,3,GeantDrive,Tunis
Radis local,2,Fruits et Légumes,1.26,0.413,232,2026-04-06,2,GeantDrive,Tunis
Roquette fraîche,2,Fruits et Légumes,3.5,1.148,244,2026-04-06,2,GeantDrive,Tunis
Epinard,2,Fruits et Légumes,3.63,1.191,203,2026-04-06,2,GeantDrive,Tunis
Tomate cerise allongée,2,Fruits et Légumes,3.76,2.677,58,2026-04-08,4,GeantDrive,Tunis
Pomme de terre grenaille,2,Fruits et Légumes,3.9,1.903,238,2026-04-07,3,GeantDrive,Tunis
Tomate cerise ronde,2,Fruits et Légumes,4.06,0.942,170,2026-04-05,1,GeantDrive,Tunis
Courge rouge,2,Fruits et Légumes,4.13,4.13,68,2026-04-11,7,GeantDrive,Tunis
Pomme de terre grenaille,2,Fruits et Légumes,4.25,4.25,148,2026-04-09,5,GeantDrive,Tunis
Epinard,2,Fruits et Légumes,4.62,2.255,186,2026-04-07,3,GeantDrive,Tunis
Tomate cerise,2,Fruits et Légumes,5.4,1.771,145,2026-04-06,2,GeantDrive,Tunis
Pomme de terre grenail...,2,Fruits et Légumes,5.62,5.62,204,2026-04-10,6,GeantDrive,Tunis
Menthe sèche,2,Fruits et Légumes,6.4,6.4,113,2026-04-10,6,GeantDrive,Tunis
Tomate cerise,2,Fruits et Légumes,6.52,3.182,232,2026-04-07,3,GeantDrive,Tunis
Epinard emballé,2,Fruits et Légumes,6.75,1.566,224,2026-04-05,1,GeantDrive,Tunis
Tomate cerise,2,Fruits et Légumes,6.99,4.977,155,2026-04-08,4,GeantDrive,Tunis
Pot au feu,2,Fruits et Légumes,7.99,5.689,213,2026-04-08,4,GeantDrive,Tunis
Pot au feu,2,Fruits et Légumes,8.03,8.03,250,2026-04-09,5,GeantDrive,Tunis
Kiwi,2,Fruits et Légumes,0.79,0.79,76,2026-04-09,5,GeantDrive,Tunis
Pâte de dattes,2,Fruits et Légumes,2.59,1.844,216,2026-04-08,4,GeantDrive,Tunis
Dattes en barquette,2,Fruits et Légumes,3.38,1.649,35,2026-04-07,3,GeantDrive,Tunis
Dattes standards,2,Fruits et Légumes,3.75,3.75,214,2026-04-09,5,GeantDrive,Tunis
Datte branchée,2,Fruits et Légumes,3.99,1.947,160,2026-04-07,3,GeantDrive,Tunis
Dattes branchées,2,Fruits et Légumes,4.38,1.437,30,2026-04-06,2,GeantDrive,Tunis
Avocat,2,Fruits et Légumes,5.17,5.17,153,2026-04-10,6,GeantDrive,Tunis
Dattes standars,2,Fruits et Légumes,6.13,2.011,44,2026-04-06,2,GeantDrive,Tunis
Dattes branchées,2,Fruits et Légumes,7.99,3.899,218,2026-04-07,3,GeantDrive,Tunis
Ananas petit calibre,2,Fruits et Légumes,8.49,1.97,93,2026-04-05,1,GeantDrive,Tunis
Dattes branchées,2,Fruits et Légumes,8.75,6.23,54,2026-04-08,4,GeantDrive,Tunis
Datte branchée,2,Fruits et Légumes,10.25,10.25,47,2026-04-11,7,GeantDrive,Tunis
Dattes,2,Fruits et Légumes,12.19,5.949,237,2026-04-07,3,GeantDrive,Tunis
Dattes branchées,2,Fruits et Légumes,16.25,11.57,101,2026-04-08,4,GeantDrive,Tunis
Dattes,2,Fruits et Légumes,17.83,4.137,203,2026-04-05,1,GeantDrive,Tunis
Baguette à la farine s...,3,Boulangerie,0.36,0.104,26,2026-04-05,1,GeantDrive,Tunis
Pain sans sel,3,Boulangerie,0.6,0.6,62,2026-04-08,4,GeantDrive,Tunis
Baguette traditionnell...,3,Boulangerie,0.75,0.417,36,2026-04-06,2,GeantDrive,Tunis
Pain céréales à l'anci...,3,Boulangerie,0.8,0.8,59,2026-04-08,4,GeantDrive,Tunis
Pâte à pizza,3,Boulangerie,0.85,0.85,80,2026-04-07,3,GeantDrive,Tunis
Epi,3,Boulangerie,0.95,0.95,73,2026-04-08,4,GeantDrive,Tunis
Pain en boule,3,Boulangerie,1.0,1.0,62,2026-04-08,4,GeantDrive,Tunis
Tabouna pain complet,3,Boulangerie,1.15,0.639,69,2026-04-06,2,GeantDrive,Tunis
Chausson aux pommes,3,Boulangerie,1.35,1.35,12,2026-04-08,4,GeantDrive,Tunis
Baguette viennoise,3,Boulangerie,1.35,1.35,55,2026-04-07,3,GeantDrive,Tunis
Coque suisse,3,Boulangerie,1.4,0.778,34,2026-04-06,2,GeantDrive,Tunis
Pain au fondant ou sch...,3,Boulangerie,1.4,0.404,80,2026-04-05,1,GeantDrive,Tunis
Pain libanais (Raghif),3,Boulangerie,1.49,0.828,18,2026-04-06,2,GeantDrive,Tunis
Pain de pique-nique,3,Boulangerie,1.6,0.462,57,2026-04-05,1,GeantDrive,Tunis
Croissant amande pur b...,3,Boulangerie,1.65,1.65,69,2026-04-07,3,GeantDrive,Tunis
Pain aux céréales,3,Boulangerie,1.65,1.65,11,2026-04-08,4,GeantDrive,Tunis
Petit pain de campagne,3,Boulangerie,1.7,1.7,20,2026-04-08,4,GeantDrive,Tunis
Petit pain viennois,3,Boulangerie,1.7,0.944,30,2026-04-06,2,GeantDrive,Tunis
Mille feuille au chocolat,3,Boulangerie,1.85,1.028,73,2026-04-06,2,GeantDrive,Tunis
Pain complet,3,Boulangerie,1.9,1.9,47,2026-04-08,4,GeantDrive,Tunis
Petit pain viennois au...,3,Boulangerie,1.9,0.549,20,2026-04-05,1,GeantDrive,Tunis
Petit pain complet,3,Boulangerie,1.9,1.9,42,2026-04-08,4,GeantDrive,Tunis
Pain libanais nature,3,Boulangerie,1.95,1.95,50,2026-04-08,4,GeantDrive,Tunis
Pain libanais complet,3,Boulangerie,1.95,1.083,20,2026-04-06,2,GeantDrive,Tunis
